Topall,rank
YGL260W,1605
YDL095W,1606
YBL093C,1607
YPL221W,1608
YMR086W,1609
YMR032W,1610
YGL211W,1611
YDR404C,1612
YBR252W,1613
YMR304W,1614
YCR043C,1615
YOR123C,1616
YDL195W,1617
YDR399W,1618
YMR103C,1619
YHR011W,1620
YGL002W,1621
YDR306C,1622
YBR053C,1623
YNL261W,1624
YKR082W,1625
YNR065C,1626
YNL102W,1627
YCR020W-B,1628
YPL063W,1629
YOR160W,1630
YKL129C,1631
YCL061C,1632
YJL035C,1633
YBL006C,1634
YMR069W,1635
YGL198W,1636
YLR177W,1637
YLL056C,1638
YGR124W,1639
YOR331C,1640
YCL030C,1641
YKL051W,1642
YKR062W,1643
YKL013C,1644
YBR117C,1645
YLR403W,1646
YKL203C,1647
YCR003W,1648
YLR358C,1649
YBR193C,1650
YPR079W,1651
YKL137W,1652
YDL232W,1653
YNL024C,1654
YBR268W,1655
YIL060W,1656
YNL272C,1657
YOR112W,1658
YML096W,1659
YDL107W,1660
YNL201C,1661
YKL071W,1662
YER178W,1663
YDR108W,1664
YBR044C,1665
YLR445W,1666
